 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP
($)","FeLV
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
105,TLC Animal Clinic,(909) 606-1588,2575 Chino Hills Pkwy B,Chino Hills,91709,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Amazon Animal Hospital,(619) 476-0053,1172 3rd Ave d8,Chula Vista,91911,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Eastlake Village Vet Clinic,(619) 482-9100,2260 Otay Lakes Rd #113,Chula Vista,91915,General Practice,"Tuesday: 8:30 AM – 5:00 PM
Wednesday: 8:30 AM – 5:00 PM
Thursday: 8:30 AM – 2:00 PM
Friday: 8:30 AM – 5:00 PM
Saturday: 8:30 AM – 5:00 PM
Sunday: 8:30 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Escaya Veterinarians,(619) 737-3003,1930 Avenida Escaya Suite 105,Chula Vista,91913,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Otay Pet Vets,(619) 421-1698,2015 Birch Rd #107,Chula Vista,91915,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 7:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Pacific Pet Hospital,(619) 585-7387,1466 Melrose Ave,Chula Vista,91911,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:30 AM – 2:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:30 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Pet Emergency & Specialty Center-South County,(619) 591-4802,885 Canarios Ct Suite 108,Chula Vista,91910,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Rolling Hills Pet Hospital,(619) 656-6400,2457 Fenton St,Chula Vista,91914,General Practice,"Tuesday: 8:00 AM – 6:30 PM
Wednesday: 8:00 AM – 6:30 PM
Thursday: 8:00 AM – 6:30 PM
Friday: 8:00 AM – 6:30 PM
Saturday: 8:00 AM – 6:30 PM
Sunday: 8:30 AM – 1:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,South Bay Veterinary Hospital,(619) 422-6186,1038 Broadway,Chula Vista,91911,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Telegraph Canyon Animal Medical Center,(619) 421-1323,577 Telegraph Canyon Rd,Chula Vista,91910,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,The Pet Clinic-Chula Vista,(619) 422-0194,3326 Main St,Chula Vista,91911,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,VCA Bonita Animal Hospital,(619) 427-2233,3438 Bonita Rd,Chula Vista,91910,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Alleve Animal Hospital,(909) 624-0800,562 E Baseline Rd,Claremont,91711,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Chaparral Pet Hospital,(909) 625-1561,915 W Foothill Blvd # A,Claremont,91711,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Claremont Veterinary Hospital,(909) 638-1218,1324 N Claremont Blvd,Claremont,91711,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Peppertree Animal Hospital,(909) 766-2880,320 S Indian Hill Blvd,Claremont,91711,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Colton Animal Hospital,(909) 825-4335,1309 N Mt Vernon Ave,Colton,92324,General Practice,"Tuesday: 9:00 AM – 2:00 PM
Wednesday: 9:00 AM – 2:00 PM
Thursday: 9:00 AM – 2:00 PM
Friday: 9:00 AM – 2:00 PM
Saturday: 9:00 AM – 2:00 PM
Sunday: 9:00 AM – 12:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Healthy Paws Pet Hospital,null,3M8G+X5,Colton,92324,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Affordable Animal Hospital: Compton,(310) 639-1234,1040 S Long Beach Blvd,Compton,90221,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Alameda Animal Hospital,(310) 638-4149,925 Alameda St,Compton,90220,General Practice,"Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,9Tails Veterinary Clinic,(951) 268-6269,1973 Foothill Pkwy #103,Corona,92881,General Practice,"Monday: 12:00 PM – 5:00 PM
Tuesday: 9:00 AM – 3:00 PM
Wednesday: 11:00 AM – 7:00 PM
Thursday: 9:30 AM – 4:30 PM
Friday: 11:00 AM – 7:00 PM
Saturday: 11:00 AM – 7:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Animal Hospital of Eagle Glen,(951) 340-9200,2279 Eagle Glen Pkwy STE 108,Corona,92883,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Animal Medical Center of Corona,(951) 493-6771,91 E Grand Blvd #102,Corona,92879,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Centennial Animal Hospital,(951) 371-7383,1935 Compton Ave,Corona,92881,General Practice,"Tuesday: 8:00 AM – 7:30 PM
Wednesday: 8:00 AM – 7:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 7:30 PM
Saturday: 8:00 AM – 7:30 PM
Sunday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Circle City Animal Hospital,(951) 737-7912,1302 E 6th St,Corona,92879,General Practice,"Tuesday: 9:00 AM – 4:30 PM
Wednesday: 9:00 AM – 4:30 PM
Thursday: 9:00 AM – 12:00 PM
Friday: 9:00 AM – 4:30 PM
Saturday: 9:00 AM – 4:30 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Corona Animal Emergency Center,(951) 482-5137,541 N Main St Suite 107,Corona,92880,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Corona Animal Hospital,(951) 735-1642,1565 Yorba St,Corona,92882,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Corona Community Veterinary Hospital,(951) 279-7387,423 E Grand Blvd,Corona,92879,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Sacred Hearts Veterinary Hospital,(951) 340-2805,326 Adams Cir,Corona,92882,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,South Corona Pet Hospital,(951) 898-3647,1551 E Ontario Ave STE 101,Corona,92881,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM
Sunday: 9:00 AM – 3:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Sycamore Creek Animal Hospital,(951) 277-5200,11882 De Palma Rd #2A,Corona,92883,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Tillema Veterinary Clinic,(951) 547-1675,708 N Main St #708,Corona,92878,General Practice,"Tuesday: 8:30 AM – 12:00 PM
Tuesday: 1:00 PM – 6:00 PM
Wednesday: 8:30 AM – 12:00 PM
Wednesday: 1:00 PM – 6:00 PM
Thursday: 8:30 AM – 12:00 PM
Thursday: 1:00 PM – 6:00 PM
Friday: 8:30 AM – 12:00 PM
Friday: 1:00 PM – 6:00 PM
Saturday: 8:30 AM – 12:00 PM
Saturday: 1:00 PM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,VCA Aacacia Animal Hospital,(951) 371-1002,939 W 6th St,Corona,92882,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Coronado Animal Care facility,null,1395 1st St,Coronado,92118,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Coronado Veterinary Hospital,(619) 435-6281,150 Orange Ave,Coronado,92118,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Purple Paws Pet Clinic,(619) 762-5651,817 Orange Ave,Coronado,92118,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 9:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,All Creatures Care Cottage,(949) 642-7151,601 W 19th St #200,Costa Mesa,92627,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Baker Bristol Pet Hospital,(714) 546-0010,2976 Bristol St,Costa Mesa,92626,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 7:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Costa Mesa Animal Hospital,(949) 548-3794,480 E 17th St,Costa Mesa,92627,General Practice,"Monday: 9:00 AM – 1:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 9:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Fairview Pet Hospital,(714) 556-1125,1175 Baker St,Costa Mesa,92626,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Mesa West Pet Hospital,(949) 642-9142,1870 Placentia Ave,Costa Mesa,92627,General Practice,"Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 1:00 PM
Friday: 8:00 AM – 4:00 PM
Saturday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Modern Animal Costa Mesa,(949) 603-0432,462 E 17th St Suite B,Costa Mesa,92627,General Practice,"Monday: 8:00 AM – 4:00 AM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Newport Harbor Animal Hospital,(949) 631-1030,125 Mesa Dr,Costa Mesa,92627,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 7:00 AM – 7:00 PM
Wednesday: 7:00 AM – 7:00 PM
Thursday: 7:00 AM – 7:00 PM
Friday: 7:00 AM – 7:00 PM
Saturday: 7:00 AM – 7:00 PM
Sunday: 7:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Newport Mesa Animal Hospital,(949) 642-2100,1542 Newport Blvd,Costa Mesa,92627,General Practice,"Tuesday: 9:30 AM – 6:00 PM
Wednesday: 9:30 AM – 6:00 PM
Thursday: 9:30 AM – 6:00 PM
Friday: 9:30 AM – 6:00 PM
Saturday: 9:30 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Ranch Heights Veterinary,(949) 630-3517,2651 Irvine Ave Ste 128,Costa Mesa,92627,General Practice,"Monday: 10:00 AM – 4:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,VCA Airport Irvine Animal Hospital,(714) 754-1033,1206 Bristol St,Costa Mesa,92626,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Covina Animal Hospital,(626) 331-5374,302 E San Bernardino Rd,Covina,91723,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 7:30 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Covina Pet Care,(626) 382-2871,602 N Azusa Ave,Covina,91722,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Cypress Animal Hospital,(626) 331-0775,1400 Cypress St,Covina,91724,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Emergency Animal Hospital of San Gabriel Valley,(626) 995-1479,712 N Citrus Ave,Covina,91723,General Practice,"Tuesday: 6:00 PM – 8:00 AM
Wednesday: 6:00 PM – 8:00 AM
Thursday: 6:00 PM – 8:00 AM
Friday: 6:00 PM – 8:00 AM
Saturday: 6:00 PM – 12:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,ACCESS Specialty Animal Hospitals - Los Angeles,(310) 558-6100,9599 Jefferson Blvd,Culver City,90232,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Brent-Air Animal Hospital🐾🩺,(310) 478-0011,4477 Sepulveda Blvd,Culver City,90230,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,City of Angels Vet Spec Care,(310) 558-6170,9599 Duquesne Ave,Culver City,90232,General Practice,Monday: Open 24 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Culver City Animal Hospital,(310) 836-4551,5830 Washington Blvd,Culver City,90232,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Eye Care for Animals - Culver City,(310) 558-6150,9599 Jefferson Blvd,Culver City,90232,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 8:00 AM – 1:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Fox Hills Animal Hospital,(310) 397-4883,5558 Sepulveda Blvd,Culver City,90230,General Practice,"Tuesday: 9:00 AM – 5:30 PM
Wednesday: 9:00 AM – 5:30 PM
Thursday: 9:00 AM – 5:30 PM
Friday: 9:00 AM – 5:30 PM
Saturday: 9:00 AM – 5:30 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Let's MoVET Mobile Veterinary Care,(310) 935-3888,4127 Sepulveda Blvd,Culver City,90230,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 10:00 AM – 4:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Modern Animal Culver City,(424) 842-4243,10023 Jefferson Blvd,Culver City,90232,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Pure Animal Cardiology,(213) 787-3838,10601 Washington Blvd Suite 107B,Culver City,90232,General Practice,"Tuesday: 8:00 AM – 4:30 PM
Wednesday: 8:00 AM – 4:30 PM
Thursday: 8:00 AM – 4:30 PM
Friday: 8:00 AM – 4:30 PM
Saturday: 8:00 AM – 4:30 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Sepulveda Animal Hospital,(310) 397-0774,4300 Sepulveda Blvd,Culver City,90230,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Veterinary Cancer Group of Los Angeles,(310) 558-6120,9599 Jefferson Blvd,Culver City,90232,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ABC Animal Hospital,(714) 995-8033,9121 Walker St,Cypress,90630,General Practice,"Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Acacia Animal Hospital,(714) 821-7821,9455 Moody St,Cypress,90630,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Cypress Dog & Cat Hospital,(714) 527-4570,5422 Lincoln Ave,Cypress,90630,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: 9:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Lincoln Animal Hospital,(714) 995-9200,5391 Lincoln Ave,Cypress,90630,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 7:00 PM
Wednesday: 8:00 AM – 7:00 PM
Thursday: 8:00 AM – 7:00 PM
Friday: 8:00 AM – 7:00 PM
Saturday: 8:00 AM – 7:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Losalamitos Equine Hospital,(714) 952-0021,8931 Watson St,Cypress,90630,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,VCA College Park - Ana Brook Animal Hospital,(714) 827-6861,5839 Ball Rd,Cypress,90630,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,VCA College Park-Ana Brook: Tams Todd DVM,(714) 676-5133,5839 Ball Rd,Cypress,90630,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 4:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Beachside Animal Hospital and Surgery Centre,(949) 270-0670,34205 Doheny Park Rd,Dana Point,92624,General Practice,"Tuesday: 10:00 AM – 6:00 PM
Wednesday: 10:00 AM – 6:00 PM
Thursday: 10:00 AM – 6:00 PM
Friday: 10:00 AM – 6:00 PM
Saturday: 10:00 AM – 6:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Dana Point Animal Hospital,(949) 493-1370,32545 Golden Lantern Unit D,Dana Point,92629,General Practice,"Tuesday: 7:00 AM – 6:00 PM
Wednesday: 7:00 AM – 6:00 PM
Thursday: 7:00 AM – 6:00 PM
Friday: 7:00 AM – 6:00 PM
Saturday: 7:00 AM – 6:00 PM
Sunday: 8:00 AM – 2:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
