NorCal + Central Valley VA Call & Price Log  —  1067 Vets  |  One row per vet. Fill in prices for each service collected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
← VET INFO (pre-filled — do not edit),,,,,,,,← CALL OUTCOME (VA fills after each call) →,,,,,,← PRICE ENTRY — fill in prices collected. Leave blank if not given. →,,,,,,,,,,,,,,,,,,,,← FINAL →,,
#,Vet Name,Phone,Address,City,Zip,Vet Type,Hours,"Call
Status","No Prices
Reason","Accepting
New Patients","CareCredit
Accepted","Contact
Name",Call Notes,"Exam
Fee ($)","Vet Tech
Fee (S)","Rabies
($)","DHPP
($)","FVRCP(cat)
($)","FeLV(cat)
($)","Bordetella
($)","Canine Flu
($)","Lepto
($)","Vaccine Pkg
Dog ($)","Vaccine Pkg
Cat ($)","Spay
($)","Neuter
($)","Dental
Cleaning ($)","Dental No
Anesthesia ($)","X-Ray
($)","Bloodwork
($)","Anesthesia
($)","Emergency
Visit ($)","Urgent
Care ($)","Species
Seen",Notes,"Verified
by Susan"
155,Sierra Animal Wellness Center,(530) 346-6611,"333 A, Canyon Ct",Colfax,95713,General Practice,"Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $64,No technician Fee,RANGE $25- $45,RANGE $25- $45,,,RANGE $25- $45,RANGE $25- $45,RANGE $25- $45,,,STARTING 550,STARTING $540,STARTING $700,STARTING $700,,,,EXACT $87,EXACT $87,,,
156,ABC Veterinary Hospital,(925) 674-8878,2056 East St,Concord,94520,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 1:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $79.5,No technician Fee,RANGES $40 - $50,RANGES $40 - $50,,,RANGES $40 - $50,RANGES $40 - $50,RANGES $40 - $50,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $150,EXACT $150,,,
157,Adobe Animal Hospital,(925) 951-8317,3619 Clayton Rd,Concord,94521,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $104,EXACT $26,EXACT $37,EXACT $60,,,EXACT $44,EXACT $59,EXACT $42,,,STARTING $1038,STARTING $895,RANGES $2500 - $4000,RANGES $2500 - $4000,,,,Appointments Only,EXACT $104,,,
158,Alpine Veterinary Hospital,(925) 825-8464,4807 Clayton Rd,Concord,94521,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,$69,No technician Fee,RANGE $25- $45,RANGE $25- $45,,,RANGE $25- $45,RANGE $25- $45,RANGE $25- $45,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
159,Clayton Valley Pet Hospital,(925) 689-4600,4801 Clayton Rd,Concord,94521,General Practice,"Monday: Closed
Tuesday: 9:30 AM – 6:00 PM
Wednesday: 9:30 AM – 6:00 PM
Thursday: 9:30 AM – 6:00 PM
Friday: 9:30 AM – 6:00 PM
Saturday: 9:00 AM – 1:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $118,No technician Fee,RANGE $60- $80,RANGE $60- $80,,,RANGE $60- $80,RANGE $60- $80,RANGE $60- $80,,,STARTING $1500,STARTING $800,STARTING $1200,STARTING $1200,,,,Appointments Only,Appointments Only,,,
160,Concord Veterinary Clinic,(925) 338-2375,5201 Clayton Rd,Concord,94521,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: Closed
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $50,No technician Fee,STARTING $50,STARTING $50,,,STARTING $50,STARTING $50,STARTING $50,,,STARTING $900,STARTING $800,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
161,Disney Pet Hospital,(925) 689-4244,3554 Concord Blvd,Concord,94519,General Practice,"Tuesday: 8:00 AM – 5:30 PM
Wednesday: 8:00 AM – 5:30 PM
Thursday: 8:00 AM – 5:30 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:30 PM",Callback Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Dr. Kate Killian,(925) 825-3535,3619 Clayton Rd,Concord,94521,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 9:00 AM – 1:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $104,EXACT $26,EXACT $37,EXACT $60,,,EXACT $44,EXACT $59,EXACT $42,,,STARTING $1038,STARTING $890,RANGES $2500 - $4000,RANGES $2500 - $4000,,,,Appointments Only,EXACT $104,,,
163,Four Corners Veterinary Hospital,(925) 685-0512,2956 Treat Blvd,Concord,94518,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,,,,EXACT $96,No technician Fee,EXACT $49,EXACT $70,,,EXACT $58,EXACT $49,EXACT $44,,,STARTING 1129,STARTING $934.50,STARTING $1100,STARTING $1100,,,,Appointments Only,EXACT $96,,,
164,Maverick Veterinary Surgery Services,(925) 658-3631,4330 Clayton Rd Suites A&B,Concord,94521,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",Called - Refused,,,,,SURGERY ONLY,,,,,,,,,,,,,,,,,,,,,,,
165,SAGE Veterinary Centers - Concord,(925) 627-7243,2055 Meridian Park Blvd,Concord,94520,General Practice,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",Called - Refused,,,,,EMERGENCY ONLY,,,,,,,,,,,,,,,,,,,,,,,
166,VCA Monte Vista Animal Hospital,(925) 672-1100,1488 Washington Blvd,Concord,94521,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: Closed",Called - Got Prices,,,,,,EXACT $120,No technician Fee,RANGES $68 - $80,RANGES $68 - $80,,,RANGES $68 - $80,RANGES $68 - $80,RANGES $68 - $80,,,RANGES $465 - $750,RANGES $465 - $750,RANGES $2500 - $4000,RANGES $2500 - $4000,,,,EXACT $300,EXACT $186,,,
167,Veterinarian Care Concord,(925) 233-3856,2241 Commerce Ave,Concord,94520,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Cool Veterinary Hospital,(530) 686-1949,2966 CA-49 Suite C,Cool,95614,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 9:00 AM – 4:30 PM",Called - Got Prices,,Yes,,,,EXACT $59,EXACTLY $20.40,STARTING $50,STARTING $50,,,STARTING $50,STARTING $50,STARTING $50,,,STARTING $550,STARTING $460,STARTING $1000,STARTING $1000,,,,EXACT $96,Appointments Only,,,
169,Larkspur Landing Veterinary / Twin Cities Vet Hospital,(415) 461-6133,200 Nellen Ave suite 101,Corte Madera,94925,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: Closed",Called - Refused,,No,,,,,,,,,,,,,,,,,,,,,,,,,,
170,VCA Madera Pet Hospital,(415) 924-1271,5796 Paradise Dr,Corte Madera,94925,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 5:30 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $125.70,No technician Fee,RANGES $80 - $110,RANGES $80 - $110,,,RANGES $80 - $110,RANGES $80 - $110,RANGES $80 - $110,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $300,EXACT $180,,,
171,"Animal Healing Arts - Lisa Pesch Marinho, DVM",(707) 584-7387,216 E School St,Cotati,94931,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Animal Hospital of Cotati and Rohnert Park,(707) 719-0250,331 E Cotati Ave,Cotati,94931,General Practice,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $75,No technician Fee,STARTING $35,STARTING $35,,,STARTING $35,STARTING $35,STARTING $35,,,STARTING $800,STARTING $700,do not do dental as of the moment,do not do dental as of the moment,,,,Appointments Only,Appointments Only,,,
173,Cotati Large Animal Hospital,(707) 795-4356,8079 Gravenstein Hwy,Cotati,94931,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 9:00 AM – 12:00 PM
Sunday: Closed",Called - Refused,,,,,LARGE ANIMALS ONLY,,,,,,,,,,,,,,,,,,,,,,,
174,Cotati Small Animal Hospital,(707) 795-3694,8055 Gravenstein State Rte,Cotati,94931,General Practice,"Monday: 8:00 AM – 4:00 PM
Tuesday: 8:00 AM – 4:00 PM
Wednesday: 8:00 AM – 4:00 PM
Thursday: 8:00 AM – 4:00 PM
Friday: 8:00 AM – 2:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $70,No technician Fee,EXACT $41.21,EXACT $52.45,,,EXACT $40.15,EXACT $55,EXACT $39.25,,,STARTING $900,STARTING $800,STARTING $1300,STARTING $1300,,,,Appointments Only,EXACT $100,,,
175,La Plaza Veterinary Clinic,(707) 794-1299,60 W Cotati Ave,Cotati,94931,General Practice,"Monday: 8:30 AM – 6:00 PM
Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $80,No technician Fee,RANGES $50 - $60,RANGES $50 - $60,,,RANGES $50 - $60,RANGES $50 - $60,RANGES $50 - $60,,,STARTING $705,STARTING $670,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
176,Cottonwood Small Animal Clinic,(530) 347-3706,20633 Gas Point Rd,Cottonwood,96022,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: 9:00 AM – 1:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Cottonwood Veterinary Clinic (Large Animal),(530) 347-3711,3917 Main St,Cottonwood,96022,General Practice,"Tuesday: 8:00 AM – 12:00 PM
Tuesday: 1:00 PM – 5:00 PM
Wednesday: 8:00 AM – 12:00 PM
Wednesday: 1:00 PM – 5:00 PM
Thursday: 8:00 AM – 12:00 PM
Thursday: 1:00 PM – 5:00 PM
Friday: 8:00 AM – 12:00 PM
Friday: 1:30 PM – 5:00 PM
Saturday: 8:00 AM – 12:00 PM
Saturday: 1:00 PM – 5:00 PM",Called - Refused,,,,,LARGE ANIMALS ONLY,,,,,,,,,,,,,,,,,,,,,,,
178,Cupertino Animal Hospital,(408) 252-6380,10026 Peninsula Ave,Cupertino,95014,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $116,No technician Fee,RANGE $40 - $75,RANGE $40 - $75,,,RANGE $40 - $75,RANGE $40 - $75,RANGE $40 - $75,,,STARTING $700,STARTING $600,STARTING $1100,STARTING $1100,,,,Appointments Only,Appointments Only,,,
179,Petlight Therapy Center,(408) 599-1856,21686 Stevens Creek Blvd,Cupertino,95014,General Practice,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 9:00 AM – 5:00 PM",Voicemail Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Restani Fatima Veterinary Hospital,(650) 991-1761,1570 Bryant St,Daly City,94015,General Practice,"Monday: 9:00 AM – 3:30 PM
Tuesday: 9:00 AM – 3:30 PM
Wednesday: 9:00 AM – 3:30 PM
Thursday: 9:00 AM – 3:30 PM
Friday: 9:00 AM – 3:30 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $85,No technician Fee,EXACT $30,EXACT $30,,,EXACT $35,EXACT $50,EXACT $35,,,RANGES $500 - $800,RANGES $500 - $800,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
181,Blackhawk Veterinary Hospital,(925) 736-7440,9000 Crow Canyon Rd R,Danville,94506,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:30 AM – 1:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $115,No technician Fee,EXACT $76.75,EXACT $47.50,,,EXACT $48,EXACT $45,EXACT $45,,,STARTING $2000,STARTING $1000,STARTING $1300,STARTING $1300,,,,Appointments Only,EXACT $115,,,
182,Diablo Valley Animal Hospital,(925) 263-2528,391 Diablo Rd,Danville,94526,General Practice,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $80,$8.5 - NEEDLES WASTE FEE,EXACT $45,EXACT $45,,,EXACT $45,EXACT $45,EXACT $45,,,RANGES $600 - $900,RANGES $500 - $800,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $95,EXACT $95,,,
183,HK Animal Hospital,(925) 743-1015,5 Railroad Ave,Danville,94526,General Practice,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $55,EXACT $45,RANGE $35 - $50,RANGE $35 - $50,,,RANGE $35 - $50,RANGE $35 - $50,RANGE $35 - $50,,,RANGES $600 - $800,RANGES $600 - $800,STARTING $400,STARTING $400,,,,EXACT $85,EXACT $85,,,
184,Oak Tree Animal Hospital,(925) 837-1632,579 San Ramon Valley Blvd,Danville,94526,General Practice,"Monday: 8:30 AM – 10:00 PM
Tuesday: 8:30 AM – 10:00 PM
Wednesday: 8:30 AM – 10:00 PM
Thursday: 8:30 AM – 10:00 PM
Friday: 8:30 AM – 10:00 PM
Saturday: 8:30 AM – 10:00 PM
Sunday: 8:30 AM – 10:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $75,EXACT $25,RANGES $34 - $45,RANGES $34 - $45,,,RANGES $34 - $45,RANGES $34 - $45,RANGES $34 - $45,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,EXACT $145,EXACT $145,,,
185,Summit Veterinary Dermatology,(925) 665-3376,579 San Ramon Valley Blvd,Danville,94526,General Practice,"Monday: 8:30 AM – 8:00 PM
Tuesday: 8:30 AM – 8:00 PM
Wednesday: 8:30 AM – 8:00 PM
Thursday: 8:30 AM – 8:00 PM
Friday: 8:30 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: Closed",Called - Refused,,,,,SPECIALIZED VET,,,,,,,,,,,,,,,,,,,,,,,
186,Tassajara Veterinary Clinic,(925) 736-8387,3436 Camino Tassajara,Danville,94506,General Practice,"Tuesday: 7:30 AM – 5:00 PM
Wednesday: 7:30 AM – 5:00 PM
Thursday: 7:30 AM – 5:00 PM
Friday: 7:30 AM – 5:00 PM
Saturday: 7:30 AM – 5:00 PM
Sunday: 9:00 AM – 2:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $87.5,,RANGE $50 - 60,RANGE $50 - 60,,,RANGE $50 - 60,RANGE $50 - 60,RANGE $50 - 60,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
187,The Animal Wellness Center of Danville,(925) 318-5100,671 San Ramon Valley Blvd,Danville,94526,General Practice,"Monday: 7:30 AM – 6:00 PM
Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: Closed
Sunday: Closed",Called - Got Prices,,Yes,Yes,,,EXACT $85,No technician Fee,RANGES $42 - $65,RANGES $42 - $65,,,RANGES $42 - $65,RANGES $42 - $65,RANGES $42 - $65,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
188,VIP Petcare Vaccination Clinic,(800) 427-7973,609 San Ramon Valley Blvd,Danville,94526,General Practice,Monday: 4:00 PM – 5:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Acorn Veterinary Clinic,(530) 753-7580,1340 E Covell Blvd # 101,Davis,95616,General Practice,"Tuesday: 8:30 AM – 6:00 PM
Wednesday: 8:30 AM – 6:00 PM
Thursday: 8:30 AM – 6:00 PM
Friday: 8:30 AM – 6:00 PM
Saturday: 8:30 AM – 6:00 PM
Sunday: 9:00 AM – 12:00 PM",Called - Got Prices,,Yes,,,,EXACT $89,No technician Fee,EXACT $45,EXACT $45,,,EXACT $45,EXACT $55,EXACT $45,,,STARTING $700,STARTING $800,STARTING $1000,STARTING $1000,,,,Appointments Only,Appointments Only,,,
190,Animal Wellness Center,(530) 756-7387,2880 5th St #135,Davis,95618,General Practice,"Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $82,No technician Fee,EXACT $30 - $50,EXACT $30 - $50,,,EXACT $30 - $50,EXACT $30 - $50,EXACT $30 - $50,,,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
191,California Animal Health & Food Safety Laboratory - Davis,(530) 752-7578,620 W Health Science Dr,Davis,95616,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Cat Tales Feline Health Center,(530) 517-5100,606 W Covell Blvd,Davis,95616,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Refused,,,,,FOR CATS ONLY ,,,,,,,,,,,,,,,,,,,,,,,
193,Center for Integrative Animal Medicine,(530) 405-4000,635 Anderson Rd #20,Davis,95616,General Practice,"Tuesday: 11:00 AM – 6:00 PM
Wednesday: 11:00 AM – 6:00 PM
Friday: 11:00 AM – 6:00 PM
Saturday: 11:00 AM – 6:00 PM",Callback Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Dr. Shen Li Veterinary Service,(530) 601-9970,2020 5th St #4671,Davis,95618,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Midtown Animal Clinic,(530) 758-5650,525 Rowe Pl,Davis,95616,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 9:00 AM – 12:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $105,No technician Fee,EXACT $34.5,EXACT $40,,,EXACT $41,EXACT $41,EXACT $41,,,STARTING $600,STARTING $400,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
196,Oak Tree Animal Rehabilitation,(530) 753-9573,1340 E Covell Blvd # 101,Davis,95616,General Practice,"Tuesday: 1:00 PM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM",No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,South Davis Veterinary Center,(530) 757-1113,4615 Cowell Blvd,Davis,95618,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $92,No technician Fee,EXACT $40,EXACT $39,,,EXACT $45,EXACT $71,EXACT $43,,,STARTING $650,STARTING $550,Needs Consultation before giving estimates,Needs Consultation before giving estimates,,,,Appointments Only,Appointments Only,,,
198,UC Davis Veterinary Genetics Laboratory,(530) 752-2211,Old Davis Rd,Davis,95616,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Refused,,,,,Laboratories Only,,,,,,,,,,,,,,,,,,,,,,,
199,UC Davis Veterinary Hospital - Small Animal Clinic,(530) 752-1393,"Visitor Parking Lot 50, 944 Garrod Dr",Davis,95616,General Practice,Monday: Open 24 hours,No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,UC Davis Veterinary Medicine - Large Animal Hospital,(530) 752-0290,Visitor Parking Lot 51,Davis,95616,General Practice,Monday: Open 24 hours,No Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"University of California, Davis: Center for Equine Health",(530) 752-6433,1130 Equine Ln,Davis,95616,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Refused,,,,,Horse Clinic Only,,,,,,,,,,,,,,,,,,,,,,,
202,Vet Hospital Davis Ca,null,"Veterinary Medicine Unit II, 1 Garrod Dr",Davis,95616,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,West Davis Veterinary Center,(530) 756-1766,1617 Russell Blvd,Davis,95616,General Practice,"Tuesday: 7:30 AM – 6:00 PM
Wednesday: 7:30 AM – 6:00 PM
Thursday: 7:30 AM – 6:00 PM
Friday: 7:30 AM – 6:00 PM
Saturday: 7:30 AM – 6:00 PM
Sunday: 9:00 AM – 4:00 PM",No Answer,Call Back Later,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,M & M Veterinary Practice,(209) 669-9891,5213 S Gratton Rd,Denair,95316,General Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Diamond Bar Veterinary Clinic,(909) 861-9561,1131 Grand Ave,Diamond Bar,91765,General Practice,"Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 3:00 PM",Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Grand Animal Hospital,(909) 323-2860,1114 S Diamond Bar Blvd,Diamond Bar,91765,General Practice,"Monday: 8:00 AM – 6:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $59,No technician Fee,EXACT $39,EXACT $39,,,EXACT $39,EXACT $39,EXACT $39,,,STARTING $1069,STARTING $939,STARTING $697,STARTING $697,,,,EXACT $89,EXACT $89,,,
207,Sunset Veterinary Center,(909) 787-8380,838 N Diamond Bar Blvd,Diamond Bar,91765,General Practice,"Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: 8:00 AM – 5:00 PM",Called - Got Prices,,Yes,Yes,,,EXACT $68,No technician Fee,RANGES $35 - $45 ,RANGES $35 - $45 ,,,RANGES $35 - $45 ,RANGES $35 - $45 ,RANGES $35 - $45 ,,,Do not do spay,Do not do neuter,STARTING $700,STARTING $700,,,,Appointments Only,Appointments Only,,,
